target_id	length	eff_length	est_counts	tpm
CIMG_00013-t26_1	477	236.012	42	22.1697
CIMG_00034-t26_1	3925	3767.71	851	28.1381
CIMG_00035-t26_1	1418	1334.17	1159	108.222
CIMG_00036-t26_1	3896	3797.09	565.854	18.565
CIMG_00037-t26_1	993	864.635	149.146	21.4893
CIMG_00038-t26_1	889	715.312	118	20.5508
CIMG_00039-t26_1	1032	835.257	45	6.71174
CIMG_00040-t26_1	2206	2101.36	68	4.03137
CIMG_00042-t26_1	3886	3768.25	194	6.41365
CIMG_00043-t26_1	615	424.888	56	16.4194
CIMG_00044-t26_1	1327	1146.36	270	29.3418
CIMG_00045-t26_1	1209	1077.79	15	1.73381
CIMG_00046-t26_1	1197	989.14	84	10.5795
CIMG_00047-t26_1	3248	3164.37	209.668	8.25445
CIMG_00048-t26_1	1607	1448.23	113.332	9.74896
CIMG_00053-t26_1	411	208.701	0	0
CIMG_00063-t26_1	1659	1454.17	317.318	27.1845
CIMG_00064-t26_1	1494	1410.39	202	17.8425
CIMG_00065-t26_1	2040	1866.04	176	11.7499
CIMG_00066-t26_1	1584	1310.43	68	6.46454
CIMG_00067-t26_1	2038	1800.02	241	16.6795
CIMG_00068-t26_1	4469	4729.25	896	23.6025
CIMG_00070-t26_1	1947	1810.98	67	4.60898
CIMG_00073-t26_1	2336	2313.5	651.466	35.0805
CIMG_00075-t26_1	2760	2902.04	97.3113	4.17737
CIMG_00076-t26_1	535	314.181	581	230.377
CIMG_00078-t26_1	2338	2218.55	33	1.85305
CIMG_00080-t26_1	1582	1470.77	1630	138.065
CIMG_00082-t26_1	1128	1080.93	69	7.95235
CIMG_00083-t26_1	2429	2225.36	377.924	21.1567
CIMG_00084-t26_1	2317	2207	1614	91.1053
CIMG_00086-t26_1	462	281.109	5	2.21584
CIMG_00087-t26_1	2315	2274.22	33	1.80769
CIMG_00088-t26_1	3176	3193.81	2222	86.6718
CIMG_00089-t26_1	585	436.821	48	13.6893
CIMG_00090-t26_1	1440	1324.18	190	17.8751
CIMG_00091-t26_1	1286	1099.22	114	12.92
CIMG_00092-t26_1	3660	3673.67	441	14.9548
CIMG_00093-t26_1	1059	843.3	719	106.216
CIMG_00094-t26_1	1821	1587.61	75.1873	5.89987
CIMG_00095-t26_1	1713	1560.93	21	1.67602
CIMG_00096-t26_1	1139	838.79	66	9.80243
CIMG_00097-t26_1	1509	1341.45	6	0.55721
CIMG_00098-t26_1	1449	1307.11	135	12.8666
CIMG_00099-t26_1	2433	2304.64	2481	134.112
CIMG_00101-t26_1	756	608.13	114	23.3535
CIMG_00103-t26_1	1305	1060.96	155	18.2002
CIMG_00104-t26_1	1020	786.602	12	1.90051
CIMG_00107-t26_1	1677	1547.98	146.004	11.7501
CIMG_00108-t26_1	3601	3461.99	409.996	14.7535
CIMG_00109-t26_1	1386	1211.48	909	93.4742
CIMG_00110-t26_1	2200	1949.71	122	7.79528
CIMG_00111-t26_1	2265	2009.17	132	8.18463
CIMG_00112-t26_1	4216	3970.51	692	21.7121
CIMG_00113-t26_1	1935	1782.38	827	57.8025
CIMG_00115-t26_1	3114	3137.01	291	11.5563
CIMG_00116-t26_1	1457	1290.49	1556	150.21
CIMG_00117-t26_1	1503	1343.93	64	5.93261
CIMG_00118-t26_1	2166	2064.17	334	20.1578
CIMG_00119-t26_1	1958	1846.87	648	43.7101
CIMG_00121-t26_1	1692	1524.63	704	57.5243
CIMG_00122-t26_1	807	605.46	13	2.67486
CIMG_00124-t26_1	1149	933.632	535	71.3873
CIMG_00125-t26_1	2238	2108.75	1963	115.968
CIMG_00126-t26_1	2394	2529.88	8093	398.523
CIMG_00127-t26_1	2003	2126.4	98	5.74149
CIMG_00128-t26_1	1089	933.554	14	1.86824
CIMG_00129-t26_1	360	165.412	6	4.51884
CIMG_00130-t26_1	1952	1689.46	0	0
CIMG_00131-t26_1	2285	2065.53	578	34.861
CIMG_00133-t26_1	2122	2021.53	319	19.6587
CIMG_00134-t26_1	1520	1309.72	60	5.70709
CIMG_00135-t26_1	1623	1422.12	257	22.5133
CIMG_00136-t26_1	5097	5153.63	225	5.43891
CIMG_00137-t26_1	1885	1829.59	777	52.9066
CIMG_00138-t26_1	1693	1604.97	42	3.26006
CIMG_00139-t26_1	876	671.311	100	18.5575
CIMG_00140-t26_1	1523	1330.73	145	13.5744
CIMG_00141-t26_1	1934	1805.6	384	26.4943
CIMG_00142-t26_1	1511	1389.6	97	8.69609
CIMG_00143-t26_1	375	177.866	19	13.3077
CIMG_00144-t26_1	1176	1074.74	4	0.46366
CIMG_00146-t26_1	1639	1464.43	372.399	31.6797
CIMG_00148-t26_1	606	393.028	116	36.7687
CIMG_00151-t26_1	1344	1215.28	274	28.0877
CIMG_00152-t26_1	1882	1694.81	399	29.3289
CIMG_00153-t26_1	1697	1561.23	23	1.83528
CIMG_00154-t26_1	1038	882.011	20	2.82487
CIMG_00155-t26_1	1794	1730.14	78	5.61638
CIMG_00156-t26_1	908	675.06	61	11.2572
CIMG_00158-t26_1	1602	1533.78	142	11.5337
CIMG_00159-t26_1	1035	867.043	122	17.5292
CIMG_00161-t26_1	3216	3269	2662	101.446
CIMG_00162-t26_1	4098	4015.63	386	11.975
CIMG_00165-t26_1	450	263.617	4	1.8903
CIMG_00167-t26_1	1830	1634.4	28	2.13424
CIMG_00168-t26_1	525	315.653	13	5.13069
CIMG_00170-t26_1	2061	2129.26	231	13.5153
CIMG_00171-t26_1	324	136.804	124	112.919
CIMG_00172-t26_1	600	388.905	16	5.1253
CIMG_00174-t26_1	2941	2874.56	237.643	10.2991
CIMG_00175-t26_1	1152	932.817	28	3.73942
CIMG_00176-t26_1	885	648.794	246	47.2358
CIMG_00177-t26_1	1678	1552.94	0	0
CIMG_00177-t26_2	1762	1663.27	160	11.984
CIMG_00178-t26_1	1914	1661.63	875	65.6018
CIMG_00179-t26_1	2648	2534.38	346	17.0078
CIMG_00180-t26_1	2070	1919.37	46.6691	3.0291
CIMG_00181-t26_1	1873	1674.86	3282.33	244.144
CIMG_00182-t26_1	1870	2009.74	62	3.84322
CIMG_00185-t26_1	2224	2268.16	570	31.3072
CIMG_00186-t26_1	1560	1353.69	5.82828	0.53637
CIMG_00186-t26_2	1592	1379.37	64.1717	5.79572
CIMG_00187-t26_1	819	584.027	54	11.5187
CIMG_00188-t26_1	303	120.862	3	3.09225
CIMG_00189-t26_1	2448	2563.45	36	1.74952
CIMG_00190-t26_1	1981	1861.06	27	1.80737
CIMG_00191-t26_1	633	417.126	0	0
CIMG_00193-t26_1	1305	1162.23	120	12.8627
CIMG_00194-t26_1	603	429.42	12	3.4813
CIMG_00195-t26_1	1506	1575.26	56	4.42873
CIMG_00196-t26_1	3180	3258.93	375	14.335
CIMG_00197-t26_1	571	412.664	227	68.5287
CIMG_00198-t26_1	1634	1526.13	1065	86.9362
CIMG_00200-t26_1	2219	2151.55	75	4.34264
CIMG_00201-t26_1	1053	876.803	49	6.96205
CIMG_00202-t26_1	1320	1091.7	78	8.90089
CIMG_00203-t26_1	1734	1641.65	92	6.98151
CIMG_00204-t26_1	477	317.325	16	6.28143
CIMG_00205-t26_1	2557	2590.35	342	16.4479
CIMG_00206-t26_1	2589	2526.16	201	9.91237
CIMG_00207-t26_1	396	223.441	3	1.67263
CIMG_00208-t26_1	1289	1234.09	527	53.1993
CIMG_00209-t26_1	804	733.03	32	5.4384
CIMG_00210-t26_1	1549	1500.43	283	23.4971
CIMG_00211-t26_1	1085	919.888	42	5.68797
CIMG_00212-t26_1	414	211.309	6	3.53734
CIMG_00213-t26_1	799	546.594	11	2.50709
CIMG_00215-t26_1	2387	2248.56	795	44.0459
CIMG_00216-t26_1	2273	2251.13	542	29.9945
CIMG_00217-t26_1	648	473.475	17	4.47296
CIMG_00218-t26_1	7795	7735.33	774	12.4654
CIMG_00219-t26_1	591	392.423	49	15.5555
