target_id	length	eff_length	est_counts	tpm
CIMG2_000001-T1	793	539.206	14	3.38137
CIMG2_000002-T1	336	142.306	2	1.83031
CIMG2_000003-T1	1206	926.721	101	14.1936
CIMG2_000004-T1	2086	1743.88	33.7929	2.52365
CIMG2_000004-T2	2077	1731.7	21.7598	1.63644
CIMG2_000004-T3	2096	1734.34	114.447	8.59391
CIMG2_000004-T4	2156	1792.04	0	0
CIMG2_000005-T1	318	128.694	8	8.09565
CIMG2_000006-T1	549	334.038	11	4.2886
CIMG2_000007-T1	735	500.673	998	259.595
CIMG2_000008-T1	762	498.318	206	53.8369
CIMG2_000009-T1	237	73.3107	31	55.0698
CIMG2_000010-T1	768	486.432	67	17.9379
CIMG2_000011-T1	318	128.694	25	25.2989
CIMG2_000012-T1	564	294.034	53	23.4745
CIMG2_000013-T1	1986	1743.07	49.9918	3.7351
CIMG2_000014-T1	306	119.945	2.35989	2.5623
CIMG2_000015-T1	2412	2095.12	28.6483	1.78078
CIMG2_000016-T1	357	158.778	7	5.74154
CIMG2_000017-T1	1452	1239.45	63	6.61958
CIMG2_000018-T1	387	182.684	5.3333	3.80203
CIMG2_000019-T1	2637	2472.12	279.667	14.733
CIMG2_000020-T1	213	59.0109	16	35.3108
CIMG2_000021-T1	597	351.693	105	38.8816
CIMG2_000022-T1	462	240.218	157	85.1163
CIMG2_000023-T1	3905	3549.07	540.817	19.8452
CIMG2_000024-T1	796	543.932	1.14445	0.274013
CIMG2_000025-T1	1509	1272.02	483	49.4507
CIMG2_000026-T1	318	128.694	54	54.6457
CIMG2_000027-T1	216	60.8102	32	68.5319
CIMG2_000028-T1	891	647.423	465	93.5371
CIMG2_000029-T1	354	156.362	176	146.588
CIMG2_000030-T1	1680	1399.51	1409	131.115
CIMG2_000031-T1	213	59.0109	0	0
CIMG2_000032-T1	1821	1516.03	259	22.249
CIMG2_000033-T1	1263	1025.66	185.857	23.599
CIMG2_000034-T1	4398	4061.6	468.143	15.0107
CIMG2_000035-T1	2145	1913.89	404	27.4906
CIMG2_000036-T1	2613	2326.94	484	27.0882
CIMG2_000037-T1	1176	959.285	425	57.6979
CIMG2_000038-T1	756	503.561	49	12.6725
CIMG2_000039-T1	1644	1459.44	150	13.3852
CIMG2_000040-T1	1875	1697.91	286	21.9366
CIMG2_000041-T1	1234	1020.66	1314	167.662
CIMG2_000042-T1	1041	809.645	59	9.49023
CIMG2_000043-T1	303	117.814	0	0
CIMG2_000044-T1	1967	1763.6	1243	91.7891
CIMG2_000045-T1	2217	1951.18	239	15.9522
CIMG2_000046-T1	1254	1159.75	203	22.7956
CIMG2_000047-T1	1616	1403.42	776	72.0101
CIMG2_000048-T1	1482	1267.76	337	34.6187
CIMG2_000049-T1	1305	1203.26	977	105.744
CIMG2_000050-T1	2028	1885.45	829	57.261
CIMG2_000051-T1	468	255.139	9	4.59394
CIMG2_000052-T1	1815	1718.7	181	13.715
CIMG2_000053-T1	4222	4028.37	430.675	13.9232
CIMG2_000053-T2	4296	4092.89	43.9333	1.39792
CIMG2_000053-T3	4290	4085.47	66.3914	2.11636
CIMG2_000054-T1	1282	1065.34	530.922	64.9028
CIMG2_000055-T1	2514	2048.27	243	15.4504
CIMG2_000056-T1	174	38.6519	0	0
CIMG2_000057-T1	252	82.9027	1	1.57091
CIMG2_000058-T1	3392	3131.32	745	30.9847
CIMG2_000059-T1	815	575.913	71	16.0554
CIMG2_000060-T1	372	170.624	24	18.3186
CIMG2_000061-T1	1622	1476.57	487.32	42.9814
CIMG2_000061-T2	1694	1549.5	69.6796	5.85645
CIMG2_000062-T1	1402	1165.17	473.052	52.8734
CIMG2_000062-T2	1400	1163.35	710.948	79.588
CIMG2_000063-T1	783	604.925	20	4.30574
CIMG2_000064-T1	2303	2238.73	178	10.3547
CIMG2_000065-T1	270	94.7604	3	4.123
CIMG2_000066-T1	993	778.488	134.828	22.5552
CIMG2_000067-T1	2986	2775.4	250.172	11.739
CIMG2_000067-T2	2486	2279.18	0	0
CIMG2_000068-T1	4199	3970.82	0	0
CIMG2_000068-T2	4132	3920.91	49.4078	1.64107
CIMG2_000069-T1	2466	2254.39	62.5922	3.61585
CIMG2_000070-T1	345	149.264	19	16.5774
CIMG2_000071-T1	396	190.114	26	17.8106
CIMG2_000072-T1	836	570.244	27	6.16627
CIMG2_000073-T1	3596	3526.79	150.857	5.57062
CIMG2_000074-T1	6430	6225.36	733.772	15.3503
CIMG2_000074-T2	7134	6952.32	378.862	7.09693
CIMG2_000074-T3	7203	7050.56	66.3661	1.22586
CIMG2_000075-T1	1839	1573.87	65	5.37853
CIMG2_000076-T1	1569	1408.07	43	3.97708
CIMG2_000077-T1	1672	1492.61	1247	108.803
CIMG2_000078-T1	1344	1200.75	312	33.8394
CIMG2_000079-T1	3729	3678.2	331	11.7196
CIMG2_000080-T1	4052	3946.39	301	9.93311
CIMG2_000081-T1	2146	2118.16	138	8.48476
CIMG2_000082-T1	5288	5448.3	550.849	13.1671
CIMG2_000083-T1	1272	1117.77	106.151	12.3677
CIMG2_000084-T1	609	352.437	3.84449	1.42061
CIMG2_000085-T1	957	814.539	106.596	17.0431
CIMG2_000086-T1	8020	7995.19	275.753	4.4917
CIMG2_000087-T1	2011	1759.73	135	9.99094
CIMG2_000088-T1	2132	1876.99	45.1959	3.13586
CIMG2_000088-T2	2242	1972.21	108.804	7.18474
CIMG2_000089-T1	1941	1964.29	400	26.52
CIMG2_000090-T1	234	71.4924	25	45.5407
